date, pm25, o3
2017/7/16, 999, 500
2017/7/17, 999, 500
2017/7/18, 942, 500
2017/7/19, 999, 500
2017/7/20, 999, 500
2017/7/21, 999, 500
2017/7/22, 999, 500
2017/7/23, 999, 500
2017/7/24, 899, 500
2017/7/25, 806, 500
2017/7/26, 920, 500
2017/7/27, 999, 500
2017/7/28, 947, 500
2017/7/29, 933, 500
2017/7/30, 832, 500
2017/7/31, 978, 500
2017/8/1, 999, 500
2017/8/2, 999, 500
2017/8/3, 975, 500
2017/8/4, 651, 500
2017/8/5, 916, 500
2017/8/6, 797, 500
2017/8/7, 979, 500
2017/8/8, 919, 500
2017/8/9, 975, 500
2017/8/10, 999, 500
2017/8/11, 936, 500
2017/8/12, 927, 500
2017/8/13, 999, 500
2017/8/14, 914, 500
2017/8/15, 999, 500
2017/8/16, 999, 500
2017/8/17, 964, 500
2017/8/18, 999, 500
2017/8/19, 999, 500
2017/8/20, 952, 500
2017/8/21, 999, 500
2017/8/22, 999, 500
2017/8/23, 943, 500
2017/8/24, 999, 500
2017/8/25, 955, 500
2017/8/26, 960, 500
2017/8/27, 999, 500
2017/8/28, 999, 500
2017/8/29, 820, 500
2017/8/30, 994, 500
2017/8/31, 999, 500
2017/9/1, 936, 500
2017/9/2, 916, 500
2017/9/3, 932, 500
2017/9/4, 999, 
2017/9/9, 830, 500
2017/9/10, 925, 500
2017/9/11, 964, 500
2017/9/12, 935, 500
2017/9/13, 999, 500
2017/9/14, 978, 500
2017/9/15, 999, 500
2017/9/16, 999, 500
2017/9/17, 985, 500
2017/9/18, 938, 500
2017/9/19, 954, 500
2017/9/20, 981, 500
2017/9/21, 999, 500
2017/9/22, 999, 500
2017/9/23, 988, 500
2017/9/24, 999, 500
2017/9/25, 949, 500
2017/9/26, 913, 500
2017/9/27, 988, 500
2017/9/28, 776, 500
2017/9/29, 911, 500
2017/9/30, 997, 500
2017/4/1, 999, 500
2017/4/2, 909, 500
2017/4/3, 999, 500
2017/4/4, 992, 500
2017/4/5, 918, 500
2017/4/6, 825, 500
2017/4/7, 940, 500
2017/4/8, 987, 500
2017/4/9, 965, 500
2017/4/10, 999, 500
2017/4/11, 999, 500
2017/4/12, 999, 500
2017/4/13, 972, 500
2017/4/14, 992, 500
2017/4/15, 969, 500
2017/4/16, 999, 500
2017/4/17, 999, 500
2017/4/18, 992, 500
2017/4/19, 997, 500
2017/4/20, 997, 500
2017/4/21, 927, 500
2017/4/22, 889, 500
2017/4/23, 885, 500
2017/4/24, 957, 500
2017/4/25, 798, 500
2017/4/26, 799, 500
2017/4/27, 970, 500
2017/4/28, 999, 500
2017/4/29, 999, 500
2017/4/30, 954, 500
2017/5/1, 910, 500
2017/5/2, 997, 500
2017/5/3, 939, 500
2017/5/4, 967, 500
2017/5/5, 857, 500
2017/5/6, 886, 500
2017/5/7, 905, 500
2017/5/8, 906, 500
2017/5/9, 957, 500
2017/5/10, 867, 500
2017/5/11, 970, 500
2017/5/12, 915, 500
2017/5/13, 711, 500
2017/5/14, 858, 500
2017/5/15, 928, 500
2017/5/16, 899, 500
2017/5/17, 999, 500
2017/5/18, 999, 500
2017/5/19, 964, 500
2017/5/20, 959, 500
2017/5/21, 868, 500
2017/5/22, 737, 500
2017/5/23, 844, 500
2017/5/24, 960, 500
2017/5/25, 623, 500
2017/5/26, 792, 500
2017/5/27, 927, 500
2017/5/28, 791, 500
2017/5/29, 839, 500
2017/5/30, 874, 500
2017/5/31, 890, 500
2017/6/1, 916, 500
2017/6/2, 914, 500
2017/6/3, 897, 500
2017/6/4, 897, 500
2017/6/5, 989, 500
2017/6/6, 782, 500
2017/6/7, 849, 500
2017/6/8, 722, 500
2017/6/9, 916, 500
2017/6/10, 999, 500
2017/6/11, 999, 500
2017/6/12, 999, 500
2017/6/13, 999, 500
2017/6/14, 910, 500
2017/6/15, 839, 500
2017/6/16, 837, 500
2017/6/17, 921, 500
2017/6/18, 863, 500
2017/6/19, 963, 500
2017/6/20, 952, 500
2017/6/21, 999, 500
2017/6/22, 923, 500
2017/6/23, 999, 500
2017/6/24, 999, 500
2017/6/25, 932, 500
2017/6/26, 926, 500
2017/6/27, 981, 500
2017/6/28, 856, 500
2017/6/29, 999, 500
2017/6/30, 999, 500
2017/1/2, 999, 500
2017/1/3, 957, 500
2017/1/4, 999, 500
2017/1/5, 999, 500
2017/1/6, 999, 500
2017/1/7, 999, 500
2017/1/8, 999, 500
